POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Price in Cr INR
86,Dirk Nannes,29,29,107.4,785,28,0,28.03,7.29,23.07,0,0,10.57
87,Pravin Tambe,33,33,110,853,28,0,30.46,7.75,23.57,1,0,11.23
88,Amit Singh,23,23,78.5,620,28,0,22.14,7.86,16.89,1,0,8.94
89,Tim Southee,40,40,148,"1,293",28,0,46.17,8.73,31.71,0,0,15.79
90,Mohammed Siraj,26,26,92.1,848,28,0,30.28,9.2,19.75,1,0,11.56
91,MF Maharoof,20,20,70,520,27,0,19.25,7.42,15.55,0,0,12.58
92,Angelo Mathews,49,44,131.5,"1,079",27,0,39.96,8.18,29.29,1,0,14.78
93,Wayne Parnell,26,26,95.2,701,26,0,26.96,7.35,22,0,0,12.89
94,Axar Rajesh Patel,26,26,97.4,726,26,0,27.92,7.44,22.54,0,0,11.36
95,RP Singh,82,82,295.5,"2,338",90,0,25.97,7.9,19.72,2,0,8.65
96,Pragyan Ojha,92,90,316.3,"2,332",89,0,26.2,7.36,21.33,0,0,12.46
97,Sidharth Kaul,45,45,163.3,"1,385",49,0,28.26,8.47,20.02,1,0,9.78
98,Shadab Jakati,59,57,180.5,"1,450",47,0,30.85,8.01,23.08,2,0,14.67
99,Anil Kumble,42,42,160.5,"1,058",45,0,23.51,6.57,21.44,2,1,12.35
100,Sreenath Aravind,38,38,126.4,"1,039",45,0,23.08,8.2,16.88,2,0,11.25
